Root Domain,Location on Site,Technology Spend,Sales Revenue,Social,Employees,SKU,Company,Vertical,Tranco,Page Rank,Majestic,Umbrella,Overall Score,Performance,Accessibility,SEO,Best Practices,Telephones,Emails,X,Twitter,TikTok,Threads,Facebook,LinkedIn,Google,Pinterest,GitHub,Instagram,Vk,Vimeo,YouTube,People,Verified Profiles,City,State,Zip,Country,First Detected,Last Found,First Indexed,Last Indexed,eCommerce Platform,CRuX Rank,Cloudflare Rank,Exclusion,Compliance
facty.com,facty.com,$1000,,0.0,0.0,0,Facty Health,Health And Fitness,99.0,460831,365079,71900,,,,,,ph:+1-855-342-2271;+1-778-817-1474,advertise@facty.com;contact@facty.com;content+nash@facty.com;content+jamie@facty.com;content+shayna@facty.com;content+jenna@facty.com;content+eren@facty.com;content+susie@facty.com;content+neil@facty.com;content+patricia@facty.com;content+mike@facty.com;content+amiee@facty.com;content+prerna@facty.com;content+trista@facty.com;editorial@facty.com;content+marco@facty.com;content+aaron@facty.com;content+jamieg@facty.com;content+doug@facty.com;content+maxd@facty.com;content+ariela@facty.com;content+julia@facty.com;wp-content+staff.writer@facty.com;wp-content+glenda@facty.com;wp-content+ariela@facty.com;wp-content+developer@facty.com;wp-content+andrew@facty.com;wp-content+bella@facty.com;wp-content+dianne@facty.com;wp-content+jeanna@facty.com;wp-content+jennifer@facty.com;wp-content+mollie@facty.com;wp-content+anthony@facty.com,,twitter.com/factycom,,,facebook.com/factycom,,,pinterest.com/factyhealth,,instagram.com/facty_health,,,,N/A - Director - noemail; N/A - Csuite - noemail; N/A - Founder - noemail,,York (Del Ray / Keelsdale / Mount Dennis / Silverthorne),Ontario,M6M,CA,2019-03-12,2023-12-03,2011-02-01,2023-12-31,,Top 50k,Top 200k,-,-
hometalk.com,hometalk.com,$1000,,400000.0,10.0,0,Hometalk,Home And Garden,102.0,8304,6134,23442,,,,,,ph:,miriam@hometalk.com;yair@hometalk.com;lulu@hometalk.com;team@hometalk.com;support@hometalk.com;help@hometalk.com;prosupport@hometalk.com;info@hometalk.com;service@hometalk.com;privacy@hometalk.com;press@hometalk.com;karaw@hometalk.com;kaufman.daniel@hometalk.com;saralayah@hometalk.com,,twitter.com/hometalk,tiktok.com/@hometalk,,facebook.com/hometalk,,,pinterest.com/hometalk,,instagram.com/hometalk,,,youtube.com/user/myhometalk,,,New York City,NY,10001,US,2018-02-16,2023-12-24,2001-02-19,2024-01-06,Shopify;Wix Stores,Top 50m,Top 50k,-,-
gamespot.com,gamespot.com,$5000,,1000000.0,10.0,0,GAMESPOT,Technology And Computing,103.0,1727,806,9470,,,,,,ph:+1-408-674-5180,news@gamespot.com,,twitter.com/gamespot,,,facebook.com/gamespot,,,,,instagram.com/gamespot,,,,N/A - Software - noemail; N/A - Director - noemail,,Beverly Hills,CA,90210,US,2020-06-01,2023-12-28,2003-01-29,2024-01-08,SAP Commerce Cloud;Shopify;StackCommerce,Top 50k,Top 50k,-,California CCPA
thelist.com,thelist.com/*,$500,,20000.0,0.0,0,Static Media,Food And Drink,104.0,14332,22398,42980,,,,,,ph:+1-650-350-1423,,,twitter.com/thelistdaily,tiktok.com/@thelistdaily,,facebook.com/thelistdaily,,,pinterest.com/thelistdaily,,instagram.com/thelistdaily,,,,,,Fishers,IN,46038,US,2022-06-14,2023-12-20,2002-08-07,2023-12-30,,Top 100k,Top 100k,-,California CCPA
theepochtimes.com,theepochtimes.com,$2000,,300000.0,0.0,0,The Epoch Times,Law  Govt And Politics,107.0,4677,1645,7944,,,,,,ph:+1-212-239-2808;+1-646-213-1219;+1-214-682-7788;+1-617-812-6356;+1-703-852-7345;+1-917-905-2080;+1-626-401-1221;+1-408-495-3450;+1-202-591-1696;+1-212-244-3395,,,twitter.com/epochtimes,,,facebook.com/epochtimes,,,,,instagram.com/epochtimes,,,,N/A - Other - noemail; N/A - Marketing - noemail; N/A - Board - noemail; N/A - President - noemail,,New York City,NY,10001,US,2016-05-26,-,2009-01-06,2024-01-08,,Top 50m,Top 50k,-,-
radaronline.com,radaronline.com,$2000,,100000.0,0.0,0,RadarOnline,Law  Govt And Politics,116.0,11428,4884,41416,,,,,,ph:+1-212-413-6142;+1-800-633-3600;+1-800-344-9598;+1-917-231-8680,privacypolicy@radaronline.com;ldimattina@radaronline.com;spencer@radaronline.com;tips@radaronline.com;lornstein@radaronline.com;jvituscka@radaronline.com;more@radaronline.com;jgarcia@radaronline.com;ccechin@radaronline.com;nfitzsimmons@radaronline.com;mpage@radaronline.com;jheger@radaronline.com;nwoulfe@radaronline.com;munster@radaronline.com;tgray@radaronline.com;currentsubscriber@radaronline.com;kvereb@radaronline.com;atereszck@radaronline.com;bust@radaronline.com;dfairall@radaronline.com;contact@radaronline.com;advertising@radaronline.com;media@radaronline.com,,twitter.com/radar_online,,,facebook.com/radaronline,,,pinterest.com/radaronline,,instagram.com/radaronline,,,,N/A - Csuite - n/a@radaronline.com,,New York City,NY,10004,US,2017-06-27,2023-12-28,2004-12-15,2024-01-04,,Top 100k,Top 50k,-,-
dailydot.com,dailydot.com,$5000,,150000.0,10.0,0,The Daily Dot,Art And Entertainment,118.0,3834,1855,29053,,,,,,ph:+1-512-588-2805,info@thedailydot.com;support@thedailydot.com;copyright@thedailydot.com;dell@dailydot.com;acouts@dailydot.com;rob@dailydot.com;egeller@dailydot.com;sarah@dailydot.com;lindsey@dailydot.com;ndonovan@dailydot.com;nick@dailydot.com;fidel@dailydot.com;dennis@dailydot.com;jfranz@dailydot.com;jay@dailydot.com;michelle@dailydot.com;gaby@dailydot.com;dcopeland@dailydot.com;jordan@dailydot.com;tim@dailydot.com;ads@dailydot.com;partnerships@dailydot.com;store@dailydot.com;licensing@dailydot.com;marketing@dailydot.com;feedback@dailydot.com;support@dailydot.com;tips@dailydot.com;press@dailydot.com,,twitter.com/dailydot,,,facebook.com/dailydot,linkedin.com/company/the-daily-dot,,pinterest.com/dailydot,,instagram.com/dailydot,,,youtube.com/user/dailydotvideo,N/A - Bizdev - n/a@dailydot.com; N/A - Software - n/a@dailydot.com; N/A - Director - n/a@dailydot.com; N/A - Manager - n/a@dailydot.com; N/A - President - n/a@dailydot.com; N/A - Csuite - n/a@dailydot.com; N/A - Founder - n/a@dailydot.com,https://www.linkedin.com/in/mkcascio;https://www.linkedin.com/in/briandresher,Austin,TX,78703,US,2019-02-14,2024-01-06,2005-02-04,2024-01-08,StackCommerce,Top 50k,Top 50k,-,-
bonappetit.com,bonappetit.com,$10000,,3000000.0,10.0,216,Bon Appetit,Food And Drink,121.0,3479,2302,8248,,,,,,ph:+1-212-286-3357;+1-800-765-9419;+1-800-405-8085;+1-212-286-2860,askba@bonappetit.com;rsvp@bonappetit.com;subscriptions@bonappetit.com;baupload@bonappetit.com;askaba@bonappetit.com;bafoodist@bonappetit.com;christine_muhlke@bonappetit.com;diane_chang@bonappetit.com;foodist@bonappetit.com;jennifer_mccormick@bonappetit.com;emily_fleischaker@bonappetit.com;bauploads@bonappetit.com;joann_fontaine@bonappetit.com;ba@bonappetit.com;kba@bonappetit.com;pamela_drucker@bonappetit.com;kathryn_soter@bonappetit.com;sarah_ross@bonappetit.com,,twitter.com/bonappetit,,,facebook.com/bonappetitmag,,,pinterest.com/bonappetitmag,,instagram.com/bonappetitmag,,,,N/A - Unknown - noemail,,Boone,IA,50037,US,2020-04-29,2023-12-28,2001-11-29,2024-01-06,Shopify;Shopify Plus,Top 50m,Top 50k,-,-
axs.com,axs.com,$5000,$2944095,10000.0,100.0,0,AXS Group LLC,Sports,128.0,7442,922,27488,,,,,,ph:+1-916-445-1254;+1-800-952-5210;+1-925-357-4228,support@axs.com;unsubscribe@axs.com;affiliates@axs.com;apps@axs.com;legal@axs.com,,,,,,,,pinterest.com/axsevents,,instagram.com/axsevents,,,,N/A - Other - n/a@axs.com; N/A - Director - n/a@axs.com; N/A - President - n/a@axs.com,,Los Angeles,CA,90015,US,2016-11-23,2023-09-25,2003-10-10,2024-01-08,,Top 50m,Top 50k,-,California CCPA
food52.com,food52.com,$5000,$2777073,500000.0,0.0,0,Food52 Inc,Food And Drink,136.0,7489,4583,22903,,,,,,ph:,kristen@food52.com;submissions@food52.com;gabriella@food52.com;erin@food52.com;maddy@food52.com;laurenk@food52.com;michael@food52.com;sarah@food52.com;lindsay@food52.com;kenzi@food52.com;shelly@food52.com;u003esubmissions@food52.com;liz.andrew@food52.com;brette@food52.com;laura.bray@food52.com;u003ekristen@food52.com;rachel@food52.com;lauren.kelley@food52.com;rachel.christensen@food52.com;advertising@food52.com,,twitter.com/food52,,,facebook.com/food52,linkedin.com/company/food52,,pinterest.com/food52,,instagram.com/food52,,,,N/A - Designer - n/a@food52.com; N/A - Account - n/a@food52.com; N/A - Software - n/a@food52.com; N/A - Engineering - n/a@food52.com; N/A - Consultant - n/a@food52.com; N/A - Other - n/a@food52.com; N/A - Marketing - n/a@food52.com; N/A - Sales - n/a@food52.com; N/A - Director - n/a@food52.com; N/A - Manager - n/a@food52.com; N/A - President - n/a@food52.com; N/A - Csuite - n/a@food52.com; N/A - Founder - n/a@food52.com,https://www.crunchbase.com/person/amanda-hesser;https://www.linkedin.com/in/merrill-stubbs-07bbb5;https://www.crunchbase.com/person/merrill-stubbs;https://www.linkedin.com/in/samstahl;https://www.crunchbase.com/person/ryan-charles;https://www.crunchbase.com/person/claire-chambers;https://www.crunchbase.com/person/lauren-locke;https://www.linkedin.com/in/carolinekaam,Brooklyn,NY,11205,US,2020-12-12,2023-12-31,2009-04-05,2024-01-06,Shopify,Top 50k,Top 50k,-,-
wired.com,wired.com,$10000,,1500000.0,1.0,0,WIRED,Science,142.0,111,115,5493,,,,,,ph:+1-515-243-3273;+1-800-725-8232;+1-800-769-4733;+1-800-405-8085;+1-415-276-4994,wiredlabs@wired.com;press@wired.com;mail@wired.com;submit@wired.com;cecilia_d@wired.com;covidtips@wired.com;opinion@wired.com;megan_farokhmanesh@wired.com,,twitter.com/wired,tiktok.com/@wired,,facebook.com/wired,linkedin.com/company/wired,,pinterest.com/wired,,instagram.com/wired,,,youtube.com/user/wired,N/A - Software - noemail; N/A - Director - noemail; N/A - Manager - noemail; N/A - Csuite - noemail; N/A - Founder - noemail,,Boone,IA,50037,US,2020-02-25,2023-12-28,2000-02-28,2024-01-08,Shopify;Shopify Plus,Top 50m,Top 50k,-,-
vanityfair.com,vanityfair.com,$10000,,5000000.0,100.0,0,Vanity Fair,Art And Entertainment,156.0,1502,705,7519,,,,,,ph:+1-212-381-7201;+1-800-919-9141;+1-212-286-2860;+1-800-405-8085;+1-800-365-0635,monica@vanityfair.com,,twitter.com/vanityfair,,,facebook.com/vanityfair,,,pinterest.com/vanityfair,,instagram.com/vanityfair,,,youtube.com/user/vanityfairmagazine,N/A - Other - n/a@vanityfair.com,,New York City,NY,10007,US,2020-04-19,2023-12-28,2002-01-21,2024-01-07,Shopify;Shopify Plus,Top 50m,Top 50k,-,-
epicurious.com,epicurious.com,$5000,,2000000.0,0.0,0,Epicurious Inc,Food And Drink,158.0,7793,2069,7828,,,,,,ph:+1-212-286-2860;+1-212-381-7201;+1-855-753-1037,help@epicurious.com,,twitter.com/epicurious,,,facebook.com/epicurious,,,pinterest.com/epicurious,,instagram.com/epicurious,,,youtube.com/user/epicuriousdotcom,N/A - Director - noemail; N/A - President - noemail; N/A - Founder - noemail,https://www.linkedin.com/in/rochelle-udell-56b04329,New York City,NY,10007,US,2020-04-28,2023-12-28,2001-10-08,2024-01-08,,Top 50m,Top 50k,-,-
macrumors.com,macrumors.com,$1000,,750000.0,0.0,0,MacRumors.com,Technology And Computing,167.0,2009,1240,9846,,,,,,ph:+1-804-223-0588,husain@macrumors.com;jlgolson@macrumors.com;lory@macrumors.com;ips@macrumors.com;joe@macrumors.com;juli@macrumors.com;ericslivka@macrumors.com;mitchel@macrumors.com;marianne@macrumors.com;tips@macrumors.com;ps@macrumors.com;alfredj@macrumors.com;kelly@macrumors.com;richard@macrumors.com;olson@macrumors.com;el@macrumors.com;livka@macrumors.com;ricslivka@macrumors.com;lgolson@macrumors.com;cslivka@macrumors.com;matt@macrumors.com;dan@macrumors.com;tim@macrumors.com;chris.j@macrumors.com;ryan@macrumors.com;guides@macrumors.com;hartley@macrumors.com;support@macrumors.com;webmaster@macrumors.com,,twitter.com/macrumors,tiktok.com/@macrumors,,facebook.com/macrumors,,,,,instagram.com/macrumors,,,youtube.com/user/macrumors,N/A - Designer - n/a@macrumors.com; N/A - Unknown - n/a@macrumors.com; N/A - Director - n/a@macrumors.com; N/A - Manager - n/a@macrumors.com,,Glen Allen,VA,23060,US,2020-02-06,2023-11-14,2000-05-09,2024-01-08,,Top 100k,Top 50k,-,-
